L,0
R,74.387
L,0.18511
R,1.81008
L,0.201643
R,4.24794
L,0.160123
R,7.84211
L,0.00306267
R,0.506899
L,1.09557
R,1.49802
L,2.22988
R,4.0666
L,0.341361
R,1.96957
L,12.5326
R,1.89601
L,2.56583
R,1.69847
L,1.64213
R,3.70493
L,3.99708
R,0.692811
L,0.265648
R,3.21961
L,3.31521
R,4.14812
L,0.477304
R,2.51196
L,0.503145
R,7.04185
L,0.990679
R,6.73345
L,0.738506
R,4.72079
L,3.81151
R,5.08379
L,1.60022
R,4.55107
L,1.05729
R,1.60785
L,1.67491
R,0.921525
L,0.467635
R,1.49711
L,0.376476
R,0.867861
L,4.06528
R,3.77042
L,3.51724
R,12.0697
L,1.26248
R,0.445034
L,1.81713
R,1.13472
L,1.81204
R,4.39895
L,2.92501
R,3.29595
L,2.30637
R,0.627171
L,0.425417
R,2.20529
L,1.79246
R,0.502068
L,1.14886
R,5.99426
L,2.58596
R,1.71708
L,0.828515
R,3.29306
L,0.408228
R,1.94684
L,0.65436
R,0.989722
L,1.86102
R,0.690366
L,1.19853
R,0.345388
L,2.80326
R,4.70624
L,2.0523
R,0.188202
L,1.94005
R,2.31594
L,3.81636
R,0.667045
L,3.56032
R,1.16183
L,2.65685
R,3.10786
L,0.610901
R,7.17481
L,1.07011
R,3.68544
L,1.98049
R,5.09521
L,0.0668577
R,13.2626
L,3.7232
R,2.9609
L,1.61351
R,4.9443
L,1.18605
R,2.3202
L,1.32314
R,1.45985
L,1.06857
R,1.47294
L,0.478343
R,1.75965
L,2.09034
R,3.12011
L,1.43511
R,10.2433
L,2.53525
R,1.4313
L,0.0417008
R,1.45186
L,0.874014
R,0.416655
L,0.146603
R,7.86024
L,1.94417
R,4.82464
L,4.59711
R,2.40795
L,0.704412
R,1.84521
L,0.944523
R,6.68982
L,0.547967
R,1.64288
L,0.296256
R,3.25757
L,2.67598
R,3.21349
L,0.937568
R,9.87019
L,0.795892
R,3.71485
L,1.55389
R,6.2231
L,2.12259
R,1.81734
L,0.847379
R,1.01184
L,0.623272
R,0.245996
L,1.7116
R,2.49257
L,0.163838
R,1.74677
L,1.88756
R,2.64659
L,0.141176
R,1.09109
L,2.02185
R,1.24322
L,0.712946
R,4.40158
L,0.785708
R,4.93359
L,3.09271
R,0.987835
L,1.73256
R,2.63375
L,1.08765
R,1.5297
L,2.252
R,4.34281
L,2.71928
R,0.0395122
L,0.154366
R,3.36549
L,3.86768
R,0.298229
L,1.05324
R,0.702094
L,0.702284
R,3.01568
L,1.465
R,1.58519
L,1.13305
R,1.54925
L,2.247
R,4.91273
L,0.454256
R,1.4884
L,1.20988
R,1.49756
L,1.86801
R,7.23492
L,2.97458
R,3.43668
L,1.53243
R,2.38313
L,6.58886
R,3.03818
L,0.14004
R,2.05485
L,0.6657
R,5.15605
L,2.14286
R,1.36044
L,2.58632
R,1.5402
L,1.09085
R,1.27326
L,3.36741
R,3.04676
L,0.0852397
R,1.26372
L,1.53027
R,2.97898
L,2.9765
R,1.1873
L,1.69056
R,1.07218
L,3.08474
R,3.49443
L,0.473161
R,4.14002
L,0.563796
R,3.27656
L,5.64879
R,3.78087
L,4.42991
R,0.668802
L,1.92445
R,1.13565
L,2.59657
R,0.863153
L,0.943598
R,3.06193
L,4.0974
R,2.32125
L,0.735364
R,4.15995
L,0.287854
R,5.57461
L,1.75104
R,8.79927
L,1.157
R,1.17142
L,1.87988
R,4.6783
L,0.0205665
R,4.67216
L,1.82822
R,4.02794
L,1.11542
R,0.051709
L,3.11875
R,4.02775
L,4.02317
R,1.03849
L,0.355532
R,5.574
L,0.0862872
R,2.28505
L,1.06265
R,0.137021
L,0.882819
R,5.66697
L,1.79222
R,1.96642
L,3.94707
R,1.25916
L,3.22326
